Question_ID,Category,Clinical_Question,Gold_Reference_Answer,Model_A_Output (Blinded),Model_B_Output (Blinded),Clinician_Preferred_Model (A/B/Tie),Model_A_Factually_Correct (1/0),Model_B_Factually_Correct (1/0),Harmful_Error_Present_In_A (1/0),Harmful_Error_Present_In_B (1/0),Clinician_Notes
CLIN-001,Pregnancy Safety,Câu hỏi về An toàn Thai kỳ: Zidovudin có an toàn khi dùng cho phụ nữ mang thai không?,"Zidovudin không được khuyến cáo sử dụng cho phụ nữ mang thai vì có thể gây hại cho thai nhi. Tuy nhiên, nếu cần thiết, nên cân nhắc lợi ích và rủi ro.",[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-002,Pregnancy Safety,Câu hỏi về An toàn Thai kỳ: Vắc xin VNNB bất hoạt có an toàn khi sử dụng cho phụ nữ mang thai?,Vắc xin VNNB bất hoạt không được khuyến nghị sử dụng cho phụ nữ mang thai do khả năng gây hại cho thai nhi. Nên tránh sử dụng vắc xin này trong thai kỳ.,[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-003,Pregnancy Safety,Câu hỏi về An toàn Thai kỳ: Vắc xin thương hàn Typhim Vi có an toàn khi sử dụng cho phụ nữ mang thai?,Vắc xin thương hàn Typhim Vi không được chỉ định sử dụng cho phụ nữ mang thai.,[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-004,Pregnancy Safety,Câu hỏi về An toàn Thai kỳ: Venlafaxin có an toàn khi dùng trong thời kỳ mang thai?,Venlafaxin không được khuyến nghị sử dụng trong thời kỳ mang thai trừ khi thật cần thiết vì có thể gây ra các phản ứng ngừng thuốc ở trẻ sau khi sinh.,[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-005,Pregnancy Safety,"Câu hỏi về Tương tác thuốc: Khi sử dụng venlafaxin cho phụ nữ mang thai, có thể gặp phản ứng ngừng thuốc ở trẻ sau khi sinh?",Có thể gặp phản ứng ngừng thuốc ở trẻ sau khi sinh.,[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-006,Pregnancy Safety,Vecuronium bromid có an toàn khi sử dụng cho phụ nữ mang thai không?,Vecuronium bromid không được khuyến nghị sử dụng cho phụ nữ mang thai do khả năng gây hại cho thai nhi.,[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-007,Pregnancy Safety,Câu hỏi về An toàn valsartan cho phụ nữ mang thai?,"Valsartan được phân loại là D trong thời kỳ mang thai, nghĩa là không có dữ liệu về an toàn sử dụng thuốc trong thai kỳ. Do đó, valsartan không được khuyến nghị sử dụng cho phụ nữ mang thai trừ khi lợi ích vượt trội so với nguy cơ.",[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-008,Pregnancy Safety,Câu hỏi về An toàn Thai kỳ: Phụ nữ mang thai có thể tiêm vắc xin viêm gan B không?,"Không, vắc xin viêm gan B không được chỉ định cho phụ nữ mang thai.",[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-009,Pregnancy Safety,Câu hỏi về An toàn Thai kỳ và cho con bú?,"Xanh methylen bị chống chỉ định trong thời kỳ mang thai do khả năng gây hại cho thai nhi. Khi cho con bú, cần tạm ngừng cho con bú vì thuốc có thể bài tiết ra sữa mẹ.",[PENDING GENERATION],[PENDING GENERATION],,,,,,
CLIN-010,Pregnancy Safety,Câu hỏi về An toàn Thai kỳ: Vắc xin viêm gan B có an toàn khi sử dụng trong thời kỳ mang thai không?,"Vắc xin viêm gan B không chống chỉ định với phụ nữ mang thai, nhưng chỉ nên sử dụng khi thật sự cần thiết do nguy cơ nhiễm viêm gan B ở đối tượng này và nguy cơ truyền virus mạn tính cho trẻ sơ sinh.",[PENDING GENERATION],[PENDING GENERATION],,,,,,
