question_id,category,question,gold_reference,retrieved_passage_ids,retrieval_scores,gold_passage_id,retrieval_hit,retrieval_hit_top3,retrieval_hit_top5,mrr,retrieval_latency,prompt_tokens,generation_latency,generated_text,oracle_generated_text,BS_positive,BS_oracle
Q-000,general,Câu hỏi về Liều dùng đối tượng đặc biệt: Liều dùng của vắc xin thương hàn Typhim Vi cho trẻ em dưới 2 tuổi?,"Liều dùng của vắc xin thương hàn Typhim Vi cho trẻ em dưới 2 tuổi là 0,5 mL tiêm dưới da theo lịch tiêm phòng quốc gia.","['PASSAGE-1233', 'PASSAGE-0176', 'PASSAGE-3370', 'PASSAGE-3696', 'PASSAGE-3954']","[29.651779010619183, 23.354207122514612, 22.871088182565355, 20.244731730117106, 19.69263684306277]",PASSAGE-0001,0,0,0,0.0,0.025748014450073242,75,18.421255588531494,"Dựa trên thông tin bạn cung cấp, câu hỏi không liên quan đến liều dùng của vắc xin thương hàn Typhim Vi cho trẻ em dưới 2 tuổi. Thay vào đó, câu hỏi đang đề cập đến tác dụng phụ của amoxicillin đối với vắc xin thương hàn và thuốc tránh thai dạng uống.

Tuy nhiên, tôi có thể trả lời về liều dùng của vắc xin thương hàn Typhim Vi cho trẻ em dưới 2 tuổi:

Vắc xin thương hàn Typhim Vi thường được sử dụng cho trẻ em từ 1 tuổi trở lên. Đối với trẻ em dưới 2 tuổi, liều lượng và cách tiêm có thể khác so với người lớn. Tuy nhiên, thông tin cụ thể về liều dùng cho trẻ em dưới 2 tuổi không được nêu rõ trong câu hỏi ban đầu.

Để có thông tin chính xác về liều dùng của vắc","Theo ngữ cảnh được cung cấp, liều dùng của vắc xin thương hàn Typhim Vi cho trẻ em dưới 2 tuổi là 0,5 mL tiêm dưới da. Đây là liều dùng theo lịch tiêm phòng quốc gia dành cho đối tượng này.",0.6959195733070374,0.878078043460846
Q-001,general,Câu hỏi về An toàn Thai kỳ: Vắc xin thương hàn có an toàn khi sử dụng cho phụ nữ mang thai?,Vắc xin thương hàn vỏ polysacarid không được khuyến nghị sử dụng cho phụ nữ mang thai vì chưa có đủ dữ liệu an toàn.,"['PASSAGE-1233', 'PASSAGE-3954', 'PASSAGE-3370', 'PASSAGE-3201', 'PASSAGE-3696']","[31.584620421791687, 24.039437157485843, 23.10376600554207, 23.07433103160079, 23.018934436490433]",PASSAGE-0002,0,0,0,0.0,0.022229433059692383,68,17.19895911216736,"Dựa trên thông tin bạn cung cấp, có một số điểm cần lưu ý:

1. Amoxicillin có thể làm giảm tác dụng của vắc xin thương hàn và thuốc tránh thai dạng uống. Điều này không liên quan trực tiếp đến việc sử dụng vắc xin thương hàn cho phụ nữ mang thai.

2. Về vắc xin thương hàn cho phụ nữ mang thai:
- Hiện tại, chưa có đủ dữ liệu lâm sàng về hiệu quả và an toàn của vắc xin thương hàn trong thai kỳ.
- WHO (Tổ chức Y tế Thế giới) khuyến nghị rằng vắc xin thương hàn nên được tiêm trước khi mang thai nếu người phụ nữ chưa từng mắc bệnh thương hàn hoặc chưa tiêm vắc xin.
- Trong trường hợp cần thiết phải tiêm trong thai kỳ, các bác sĩ thường cân nhắc kỹ lưỡng và chỉ định sau khi đánh giá lợi ích và rủi","Dựa trên thông tin được cung cấp, vắc xin thương hàn dạng polysacarid không được khuyến nghị sử dụng cho phụ nữ mang thai do thiếu dữ liệu an toàn. Điều này có nghĩa là:

1. Không nên sử dụng vắc xin này cho phụ nữ mang thai.

2. Cần thận trọng và cân nhắc kỹ trước khi sử dụng bất kỳ loại vắc xin nào trong thai kỳ.

3. Cần tiếp tục nghiên cứu để có thêm dữ liệu về an toàn của vắc xin này trong thai kỳ.

4. Các lựa chọn khác có thể được đề xuất thay thế dựa trên tình trạng cụ thể của người phụ nữ mang thai.

Nếu bạn đang mang thai hoặc đang cân nhắc việc sử dụng vắc xin thương hàn, hãy thảo luận với bác sĩ của bạn về các lựa chọn an toàn nhất cho cả mẹ và bé.",0.7160982489585876,0.7686404585838318
Q-002,general,Câu hỏi về Tương tác thuốc: Tiêm vắc xin thương hàn Typhim Vi có tương tác với các loại thuốc nào?,"Tiêm vắc xin thương hàn Typhim Vi không có tương tác với các loại thuốc khác, nhưng cần tránh tiêm tĩnh mạch và đảm bảo không tiêm vào vùng có dây thần kinh hoặc gần mạch máu.","['PASSAGE-1233', 'PASSAGE-0175', 'PASSAGE-3370', 'PASSAGE-3696', 'PASSAGE-3598']","[34.08082055065334, 26.90387499615565, 26.050711350618393, 22.717208882086958, 22.64509682824184]",PASSAGE-0003,0,0,0,0.0,0.020668506622314453,71,16.953638553619385,"Dựa trên thông tin được cung cấp, amoxicillin có thể làm giảm tác dụng của vắc xin thương hàn Typhim Vi và thuốc tránh thai dạng uống. Tuy nhiên, cần lưu ý rằng câu hỏi này đề cập đến vắc xin thương hàn Typhim Vi cụ thể, trong khi thông tin ban đầu không đề cập đến vắc xin này.

Để trả lời chính xác câu hỏi, chúng ta cần biết thêm thông tin về vắc xin thương hàn Typhim Vi. Tuy nhiên, dựa trên thông tin hiện có, có thể kết luận:

1. Amoxicillin có thể làm giảm tác dụng của vắc xin thương hàn Typhim Vi (nếu được sử dụng cùng lúc).

2. Amoxicillin có thể làm giảm hiệu quả của thuốc tránh thai dạng uống (nếu được sử dụng cùng lúc).

Ngoài ra, cần lưu ý rằng:

- Các loại kháng","Theo thông tin được cung cấp, tiêm vắc xin thương hàn Typhim Vi không có tương tác với các loại thuốc khác.",0.641630232334137,0.8255678415298462
Q-003,general,Câu hỏi về Liều dùng đối tượng đặc biệt: Liều vắc xin thương hàn Typhim Vi cho người lớn suy gan nặng là bao nhiêu?,Liều vắc xin thương hàn Typhim Vi cho người lớn suy gan nặng không được khuyến nghị sử dụng do thiếu dữ liệu về an toàn và hiệu quả. Cần tham khảo ý kiến bác sĩ chuyên khoa.,"['PASSAGE-1233', 'PASSAGE-3953', 'PASSAGE-3370', 'PASSAGE-0175', 'PASSAGE-1820']","[28.267460411827468, 24.520838851169586, 21.346256711806305, 20.857620932342886, 20.838829179847686]",PASSAGE-0004,0,0,0,0.0,0.023581504821777344,77,16.386672019958496,"Dựa trên thông tin bạn cung cấp, câu hỏi không liên quan đến liều dùng của vắc xin thương hàn Typhim Vi cho người lớn suy gan nặng. Thay vào đó, câu hỏi này đang đề cập đến tác dụng phụ của amoxicillin đối với vắc xin thương hàn và thuốc tránh thai dạng uống.

Về liều dùng của vắc xin thương hàn Typhim Vi cho người lớn suy gan nặng, thông thường không có thông tin về việc điều chỉnh liều cho người suy gan. Tuy nhiên, cần tham khảo ý kiến bác sĩ hoặc chuyên gia y tế để được hướng dẫn cụ thể vì mỗi trường hợp có thể khác nhau.

Nếu bạn muốn biết thêm thông tin về liều dùng vắc xin thương hàn cho người suy gan nặng, hãy cung cấp thêm thông tin hoặc đặt câu hỏi cụ thể hơn.","Dựa trên thông tin được cung cấp, liều vắc xin thương hàn Typhim Vi cho người lớn suy gan nặng không được khuyến nghị sử dụng và không có thông tin về liều cụ thể. Điều này là do thiếu dữ liệu về an toàn và hiệu quả trong trường hợp này. Do đó, cần tham khảo ý kiến của bác sĩ chuyên khoa trước khi đưa ra quyết định sử dụng vắc xin.",0.7130969166755676,0.8416019678115845
Q-004,general,Câu hỏi về An toàn Thai kỳ: Vắc xin thương hàn Typhim Vi có an toàn khi sử dụng trong thai kỳ không?,Vắc xin thương hàn Typhim Vi không được khuyến nghị sử dụng trong thai kỳ do thiếu dữ liệu về an toàn. Phụ nữ mang thai nên được tư vấn về các lựa chọn khác.,"['PASSAGE-1233', 'PASSAGE-3696', 'PASSAGE-3370', 'PASSAGE-0175', 'PASSAGE-0177']","[32.5744250993984, 25.356765817398383, 23.49366056679603, 20.94672713601294, 20.40944622461773]",PASSAGE-0005,0,0,0,0.0,0.022916316986083984,71,17.030317544937134,"Dựa trên thông tin bạn cung cấp, có một số điểm cần lưu ý:

1. Amoxicillin có thể làm giảm tác dụng của vắc xin thương hàn và thuốc tránh thai dạng uống. Tuy nhiên, thông tin này không đề cập trực tiếp đến vắc xin Typhim Vi.

2. Về vắc xin thương hàn Typhim Vi, thông thường nó được chỉ định cho người lớn và trẻ em từ 2 tuổi trở lên để phòng ngừa bệnh thương hàn. 

3. Trong thai kỳ, việc sử dụng vắc xin thương hàn cần cân nhắc kỹ vì bệnh thương hàn rất hiếm gặp ở phụ nữ mang thai. 

4. Hiện tại chưa có bằng chứng rõ ràng về tác động của vắc xin Typhim Vi lên thai nhi. Tuy nhiên, do thiếu dữ liệu lâm sàng về việc sử dụng vắc xin này trong thai kỳ, nhiều chuyên gia y tế khuyên","Theo thông tin được cung cấp, vắc xin thương hàn Typhim Vi không được khuyến nghị sử dụng trong thai kỳ do thiếu dữ liệu về an toàn cho bà mẹ và thai nhi. Do đó, câu trả lời là không an toàn khi sử dụng trong thai kỳ theo khuyến nghị của cơ quan y tế.",0.7246452569961548,0.8321727514266968
Q-005,general,Câu hỏi về Tương tác thuốc...,Vắc xin thương hàn sống uống và vắc xin thương hàn bất hoạt bằng nhiệt/phenol có thể được tiêm vào một vị trí khác đồng thời hoặc trước sau các loại vắc xin khác.,"['PASSAGE-0268', 'PASSAGE-1615', 'PASSAGE-4250', 'PASSAGE-4249', 'PASSAGE-3256']","[12.201814151340724, 9.053566233976095, 8.546034659048646, 7.315706627883532, 7.315706627883532]",PASSAGE-0006,0,0,0,0.0,0.0065920352935791016,45,7.206515550613403,"Dựa trên ngữ cảnh bạn cung cấp, tôi hiểu rằng câu hỏi của bạn có thể liên quan đến tương tác thuốc giữa abacavir và các thuốc khác. Tuy nhiên, không có thông tin cụ thể nào được đưa ra trong câu hỏi. Bạn có thể cung cấp thêm thông tin về thuốc cụ thể mà bạn đang thắc mắc về tương tác với abacavir không?","Dựa trên ngữ cảnh bạn cung cấp, đây không phải là một câu hỏi về tương tác thuốc truyền thống mà là thông tin về cách sử dụng vắc-xin. Tuy nhiên, nếu bạn muốn hỏi về tương tác giữa các loại vắc-xin này, tôi có thể giúp như sau:

1. Các loại vắc-xin được đề cập có thể được tiêm vào vị trí khác nhau.
2. Chúng có thể được tiêm đồng thời hoặc theo trình tự trước sau với các loại vắc-xin khác.
3. Không có thông tin rõ ràng về tương tác cụ thể giữa các loại vắc-xin này.

Nếu bạn cần thêm thông tin về việc tiêm chủng an toàn hoặc tương tác giữa các loại vắc-xin khác, hãy cho tôi biết!",0.6430578231811523,0.6918123960494995
Q-006,general,Câu hỏi về Liều dùng đối tượng đặc biệt...,"Trẻ em từ 6 tuổi trở lên cần uống 4 liều vắc xin thương hàn sống uống, cách một ngày một lần. Liều lượng cho người già và những người có suy gan/suy thận cần được điều chỉnh dựa trên tình trạng sức khỏe cụ thể.","['PASSAGE-1232', 'PASSAGE-3599', 'PASSAGE-1121', 'PASSAGE-1820', 'PASSAGE-3086']","[14.775699797820995, 14.775699797820995, 13.615676020853584, 13.501030377120067, 13.393060132768799]",PASSAGE-0007,0,0,0,0.0,0.00861668586730957,54,17.05811834335327,"Dựa trên ngữ cảnh bạn cung cấp, tôi hiểu rằng bạn đang hỏi về liều dùng amoxicillin cho các đối tượng đặc biệt. Tuy nhiên, không có thông tin cụ thể nào được đưa ra. Dưới đây là một số điểm cần lưu ý về liều dùng amoxicillin cho các đối tượng đặc biệt:

1. Trẻ em: Cần điều chỉnh liều dựa trên cân nặng hoặc tuổi của trẻ.

2. Người già: Có thể cần giảm liều do chức năng thận suy giảm.

3. Người có bệnh thận: Cần điều chỉnh liều dựa trên mức creatinin trong máu.

4. Người có bệnh gan: Có thể cần giảm liều.

5. Người đang sử dụng thuốc khác: Cần xem xét tương tác dược lý.

6. Người có dị ứng: Cần thận trọng và có thể cần liều thấp hơn.

Để đảm bảo an toàn và hiệu quả, bạn nên tham khảo ý kiến bác","Dựa trên thông tin bạn cung cấp, tôi có thể trả lời câu hỏi về liều dùng đối tượng đặc biệt như sau:

- Người già: Liều lượng cần được điều chỉnh dựa trên tình trạng sức khỏe cụ thể của từng người. Thường sẽ giảm liều so với người trẻ khỏe mạnh.

- Người có suy gan: Liều lượng cần giảm do chức năng gan bị suy giảm ảnh hưởng đến khả năng chuyển hóa vắc-xin.

- Người có suy thận: Liều lượng cũng cần điều chỉnh tương tự như suy gan, vì thận suy giảm cũng làm giảm khả năng loại bỏ vắc-xin ra khỏi cơ thể.

Lưu ý rằng việc điều chỉnh liều lượng cần được chỉ định bởi bác sĩ hoặc chuyên gia y tế dựa trên đánh giá tổng thể về tình trạng sức khỏe của bệnh nhân.",0.66063392162323,0.7192102670669556
Q-007,general,Câu hỏi về An toàn Thai kỳ...,Vắc xin thương hàn sống uống không được khuyến nghị cho phụ nữ mang thai vì có thể gây nguy hiểm cho thai nhi. Không có bằng chứng cho thấy vắc xin này an toàn khi sử dụng trong thai kỳ.,"['PASSAGE-1974', 'PASSAGE-0291', 'PASSAGE-2064', 'PASSAGE-1615', 'PASSAGE-3303']","[9.696653568270474, 9.47816021019721, 9.110521398759852, 9.053566233976095, 8.801292733325718]",PASSAGE-0008,0,0,0,0.0,0.006653785705566406,63,9.849210023880005,"Dựa trên thông tin bạn đã cung cấp, câu hỏi phù hợp về an toàn thai kỳ liên quan đến Bisoprolol có thể là:

""Bisoprolol thuộc nhóm D của FDA về an toàn trong thai kỳ có nghĩa là gì?""

Hoặc:

""Việc sử dụng Bisoprolol trong thai kỳ có an toàn không và tại sao?""

Cả hai câu hỏi này đều tập trung vào vấn đề an toàn của Bisoprolol trong thai kỳ, dựa trên phân loại D của FDA mà bạn đã nêu.","Dựa trên ngữ cảnh bạn cung cấp, câu hỏi phù hợp có thể là:

""Vắc xin thương hàn sống có an toàn không khi sử dụng trong thai kỳ?""

Đáp án chính xác từ thông tin đã cho là: Vắc xin thương hàn sống không được khuyến nghị sử dụng trong thai kỳ do khả năng gây hại cho thai nhi và thiếu bằng chứng về tính an toàn của nó trong thời gian mang thai.",0.6737029552459717,0.7878522872924805
Q-008,general,Câu hỏi về Tương tác thuốc: Tiêm vắc xin thương hàn Typhim Vi có tương tác gì với tiêm tĩnh mạch?,Tiêm vắc xin thương hàn Typhim Vi không nên tiêm tĩnh mạch vì không có thông tin về tương tác nguy hiểm giữa vắc xin và phương pháp tiêm tĩnh mạch.,"['PASSAGE-1233', 'PASSAGE-0175', 'PASSAGE-3370', 'PASSAGE-4147', 'PASSAGE-3598']","[33.17569785832213, 28.293379059919758, 25.052726801759544, 22.81709459667996, 22.64509682824184]",PASSAGE-0009,0,0,0,0.0,0.019870996475219727,72,17.000961542129517,"Dựa trên thông tin bạn cung cấp, có vẻ như amoxicillin có thể làm giảm tác dụng của vắc xin thương hàn và thuốc tránh thai dạng uống. Tuy nhiên, câu hỏi của bạn đề cập đến việc tiêm vắc xin thương hàn Typhim Vi và tương tác với tiêm tĩnh mạch, điều này không rõ ràng trong ngữ cảnh đã cho.

Typhim Vi là một loại vắc xin thương hàn. Thông thường, vắc xin thương hàn không được sử dụng qua đường tĩnh mạch mà chỉ qua đường tiêm bắp hoặc tiêm subcutaneous (tiêm dưới da). Do đó, nếu bạn đang hỏi về tương tác giữa vắc xin thương hàn Typhim Vi và một loại thuốc khác được tiêm tĩnh mạch, thì cần biết thêm thông tin về loại thuốc đó.

Nếu bạn muốn biết về tương tác giữa amoxicillin và vắc xin thương hàn,","Theo ngữ cảnh được cung cấp, không có thông tin về tương tác nguy hiểm giữa vắc xin thương hàn Typhim Vi và phương pháp tiêm tĩnh mạch. Tuy nhiên, cũng cần lưu ý rằng:

1. Không nên tiêm vắc xin Typhim Vi bằng cách tiêm tĩnh mạch do thiếu thông tin về tương tác an toàn.

2. Cần tuân thủ hướng dẫn sử dụng chính thức của nhà sản xuất và các cơ quan y tế chuyên môn về cách tiêm vắc xin này.

3. Nếu có nghi ngờ về việc tiêm tĩnh mạch, nên tham khảo ý kiến bác sĩ hoặc chuyên gia y tế để được tư vấn cụ thể.

Tóm lại, không có thông tin về tương tác nguy hiểm nhưng phương pháp tiêm tĩnh mạch không được khuyến nghị khi sử dụng vắc xin Typhim Vi.",0.7229148149490356,0.7775684595108032
Q-009,general,Câu hỏi về Liều dùng đối tượng đặc biệt: Liều vắc xin thương hàn Typhim Vi cho người lớn tuổi (trên 65 tuổi) là bao nhiêu?,"Liều vắc xin thương hàn Typhim Vi cho người lớn tuổi (trên 65 tuổi) là 0,5 ml.","['PASSAGE-1233', 'PASSAGE-3370', 'PASSAGE-3696', 'PASSAGE-0176', 'PASSAGE-0175']","[28.267460411827468, 21.346256711806305, 20.244731730117106, 20.18373836597906, 18.668601598473536]",PASSAGE-0010,0,0,0,0.0,0.023761749267578125,82,16.209644556045532,"Dựa trên thông tin bạn cung cấp, câu hỏi không liên quan đến liều dùng vắc xin thương hàn Typhim Vi cho người lớn tuổi. Thay vào đó, câu hỏi đề cập đến tác dụng phụ của amoxicillin đối với vắc xin thương hàn và thuốc tránh thai dạng uống. 

Về liều dùng vắc xin thương hàn Typhim Vi cho người lớn tuổi:

Typhim Vi thường được sử dụng một liều duy nhất cho tất cả các độ tuổi, bao gồm cả người lớn tuổi (trên 65 tuổi). Không có bằng chứng cho thấy cần điều chỉnh liều lượng hoặc tần suất tiêm chủng dựa trên độ tuổi.

Tuy nhiên, đối với người lớn tuổi, việc theo dõi sau tiêm chủng là quan trọng để đảm bảo không có phản ứng phụ nghiêm trọng nào xảy ra.","Theo ngữ cảnh được cung cấp, liều vắc xin thương hàn Typhim Vi cho người lớn tuổi (trên 65 tuổi) là 0,5 ml.",0.7031137943267822,0.9211995601654053
